,Average Amount/transaction/day,Transaction_amount,Is declined,Total Number of declines/day,isForeignTransaction,isHighRiskCountry,Daily_chargeback_avg_amt,6_month_avg_chbk_amt,6-month_chbk_freq,isFradulent
39,66.77655374,2804.615257,0,5,0,0,993,954.0,2,1
40,434.5973006,13472.51632,0,7,1,1,0,0.0,0,1
41,53.18771869,2553.010497,0,6,1,0,0,0.0,0,1
42,680.8050065,33359.44532,0,8,1,0,0,0.0,0,1
43,480.7217025,17305.98129,0,7,1,1,0,0.0,0,1
44,644.2848716,19972.83102,0,0,0,0,967,226.0,9,1
45,723.1415323,22417.3875,0,5,1,0,0,0.0,0,1
46,879.4463782,40454.5334,0,8,1,0,0,0.0,0,1
47,519.6687893,22345.75794,0,4,1,0,0,0.0,0,1
48,360.1675018,20169.3801,0,0,0,0,923,542.0,7,1
49,199.1953372,11752.52489,0,7,1,0,0,0.0,0,1
50,741.7709921,37830.3206,0,0,0,0,589,499.0,8,1
51,293.785663,14395.49749,0,0,1,0,0,0.0,0,1
52,464.2802182,21356.89004,0,5,1,0,0,0.0,0,1
53,48.43831932,2664.107563,0,8,1,0,0,0.0,0,1
54,885.2821332,53116.92799,0,9,1,0,888,739.0,8,1
55,532.2414183,15435.00113,0,6,1,1,0,0.0,0,1
56,578.1520606,32376.51539,0,7,0,0,0,0.0,0,1
57,780.3223403,39016.11702,0,5,1,1,0,0.0,0,1
58,282.8443803,15556.44092,0,7,0,0,0,0.0,0,1
59,464.1466817,15780.98718,0,0,1,0,0,0.0,0,1
60,411.7532238,22234.67409,0,0,0,0,618,497.0,7,1
61,866.4786465,46789.84691,0,7,0,0,0,0.0,0,1
62,616.445728,15411.1432,0,4,1,1,381,284.0,5,1
63,837.189105,43533.83346,0,0,1,1,0,0.0,0,1
64,276.825748,8581.598188,0,0,1,0,0,0.0,0,1
65,10.66365782,458.5372863,0,8,1,1,0,0.0,0,1
66,327.2204773,16688.24434,0,9,0,0,0,0.0,0,1
67,810.4856122,20262.14031,0,5,1,1,0,0.0,0,1
68,474.0885428,16593.099,0,2,1,1,0,0.0,0,1
69,444.9309256,21801.61535,0,0,1,0,0,0.0,0,1
70,933.1631705,28928.05829,0,5,1,0,0,0.0,0,1
71,808.2022141,46067.5262,0,0,1,1,0,0.0,0,1
72,968.6067798,52304.76611,0,4,1,0,0,0.0,0,1
73,208.0480827,7489.730977,0,9,1,1,0,0.0,0,1
74,499.6241664,18985.71832,0,0,1,1,0,0.0,0,1
75,570.627572,26819.49588,0,9,0,0,0,0.0,0,1
76,681.5690311,31352.17543,0,0,1,1,0,0.0,0,1
77,248.4369944,7204.672838,0,5,1,1,0,0.0,0,1
78,539.2368026,25883.36652,0,0,1,0,964,890.0,6,1
79,580.9745696,28467.75391,0,5,1,1,0,0.0,0,1
80,336.182123,17817.65252,0,0,1,1,0,0.0,0,1
81,656.2025117,37403.54317,0,5,1,1,0,0.0,0,1
82,393.7053746,11811.16124,0,3,1,1,0,0.0,0,1
83,603.3792276,30772.34061,0,0,1,0,0,0.0,0,1
84,308.0830989,17868.81974,0,7,0,0,0,0.0,0,1
85,886.8957371,44344.78686,0,9,1,1,0,0.0,0,1
86,335.8370761,13097.64597,0,0,1,1,0,0.0,0,1
87,610.5646704,29307.10418,0,9,1,0,995,846.0,4,1
88,52.50319147,1365.082978,0,8,1,1,0,0.0,0,1
89,572.3188104,25754.34647,0,0,1,0,0,0.0,0,1
90,769.7753903,44646.97264,0,8,0,0,959,386.0,3,1
91,570.5826102,18829.22614,0,8,0,0,0,0.0,0,1
92,80.53627851,2335.552077,0,0,1,1,593,413.0,8,1
93,483.9256352,26131.9843,0,7,1,1,0,0.0,0,1
94,268.5412251,8593.319203,0,6,0,0,931,889.0,3,1
95,787.7379607,32297.25639,0,3,1,1,0,0.0,0,1
96,263.4127903,9746.273241,0,0,1,0,739,182.0,8,1
97,921.0639299,46974.26042,0,8,1,1,0,0.0,0,1
98,733.4911774,35941.06769,0,0,1,1,0,0.0,0,1
99,510.4185708,22968.83569,0,0,1,1,0,0.0,0,1
100,9.134958761,429.3430618,0,8,0,0,0,0.0,0,1
101,29.16618193,904.1516398,0,7,1,1,0,0.0,0,1
102,971.9442274,24298.60569,0,3,1,1,0,0.0,0,1
103,616.3847055,19724.31058,0,7,1,1,0,0.0,0,1
104,418.34977,21754.18804,0,0,1,1,0,0.0,0,1
105,912.5499676,37414.54867,0,2,1,1,0,0.0,0,1
106,110.5364153,3868.774536,0,0,1,1,0,0.0,0,1
107,70.55375568,2187.166426,0,7,0,0,0,0.0,0,1
108,730.7886618,41654.95372,0,8,0,0,931,415.0,9,1
109,581.9333833,33170.20285,0,0,1,1,0,0.0,0,1
110,502.4951099,24119.76528,0,0,1,0,0,0.0,0,1
111,317.7292099,14297.81445,0,7,0,0,0,0.0,0,1
112,428.1894204,25263.1758,0,7,0,0,0,0.0,0,1
113,86.35227213,2935.977252,0,0,0,0,993,992.0,7,1
114,58.50421659,1521.109631,0,5,1,1,0,0.0,0,1
115,67.75952614,3455.735833,0,7,1,0,0,0.0,0,1
116,429.8207641,18912.11362,0,0,1,0,0,0.0,0,1
117,979.4752417,46035.33636,0,0,0,0,475,244.0,4,1
118,924.9840806,39774.31547,0,7,0,0,0,0.0,0,1
119,705.352783,27508.75854,0,9,1,0,0,0.0,0,1
120,664.4396973,31228.66577,0,0,1,0,0,0.0,0,1
121,444.8008156,16457.63018,0,0,1,1,0,0.0,0,1
122,224.4733968,6060.781714,0,0,1,0,0,0.0,0,1
123,658.1175211,39487.05127,0,8,1,1,0,0.0,0,1
124,926.0312574,41671.40658,0,5,1,1,0,0.0,0,1
125,398.5830073,11160.3242,0,7,0,0,982,350.0,1,1
126,270.2719797,16216.31878,0,0,0,0,991,914.0,7,1
127,281.6009344,14924.84952,0,0,1,1,0,0.0,0,1
128,25.94673767,778.4021301,0,3,1,1,0,0.0,0,1
129,892.0737616,50848.20441,0,0,1,0,0,0.0,0,1
130,337.1910142,11127.30347,0,0,1,1,0,0.0,0,1
131,359.9114021,15476.19029,0,6,1,0,0,0.0,0,1
132,550.9807563,32507.86462,0,0,0,0,707,571.0,7,1
133,429.5809401,14605.75196,0,9,1,1,0,0.0,0,1
134,619.23554,29723.30592,0,9,1,1,0,0.0,0,1
135,66.89089521,3143.872075,0,4,1,1,0,0.0,0,1
136,720.1632813,25925.87813,0,0,1,1,0,0.0,0,1
137,787.7381474,44113.33625,0,2,1,1,0,0.0,0,1
138,815.8508538,35081.58671,0,8,1,0,0,0.0,0,1
139,814.4750536,47239.55311,0,9,0,0,0,0.0,0,1
140,707.2405588,33240.30626,0,9,1,0,0,0.0,0,1
141,383.3426919,14950.36498,0,2,1,1,0,0.0,0,1
142,487.6495231,14141.83617,0,8,0,0,0,0.0,0,1
143,148.6099184,3715.24796,0,0,0,0,916,704.0,9,1
144,307.4155075,14448.52885,0,0,1,1,0,0.0,0,1
145,987.0255318,50338.30212,0,2,1,1,0,0.0,0,1
146,744.816824,29047.85614,0,7,0,0,0,0.0,0,1
147,679.3220446,40080.00063,0,3,1,1,0,0.0,0,1
148,31.25395942,1187.650458,0,8,0,0,0,0.0,0,1
149,978.691432,25445.97723,0,9,0,0,0,0.0,0,1
150,256.1895782,9479.014393,0,8,1,0,0,0.0,0,1
151,36.55582934,1571.900662,0,0,1,1,0,0.0,0,1
152,865.809278,36363.98968,0,0,1,0,0,0.0,0,1
153,28.36943391,1163.14679,0,9,1,1,0,0.0,0,1
154,766.5603656,42160.82011,0,0,0,0,577,367.0,7,1
155,860.6974012,51641.84407,0,0,1,1,667,548.0,7,1
156,436.3097896,20506.56011,0,8,0,0,695,228.0,9,1
157,128.0026311,7424.152604,0,7,0,0,0,0.0,0,1
158,315.7326582,14523.70228,0,0,1,1,0,0.0,0,1
159,110.1401282,6498.267564,0,7,0,0,0,0.0,0,1
160,259.3569041,9855.562356,0,9,1,1,0,0.0,0,1
161,253.8673429,13201.10183,0,7,1,0,0,0.0,0,1
162,334.1530379,18378.41708,0,0,0,0,735,608.0,7,1
163,507.067806,22310.98346,0,9,0,0,0,0.0,0,1
164,396.6188071,11105.3266,0,8,1,1,0,0.0,0,1
165,274.9736712,14298.6309,0,4,1,1,0,0.0,0,1
166,630.3932778,34041.237,0,0,1,1,0,0.0,0,1
167,491.2565161,28492.87793,0,8,1,1,0,0.0,0,1
168,971.6299871,56354.53925,0,5,1,1,0,0.0,0,1
169,366.1841195,17943.02186,0,7,1,1,0,0.0,0,1
170,54.41576965,2285.462325,0,0,1,1,0,0.0,0,1
171,719.8422034,37431.79458,0,2,1,1,0,0.0,0,1
172,832.603207,33304.12828,0,0,1,1,0,0.0,0,1
173,753.8463192,37692.31596,0,6,1,0,0,0.0,0,1
174,658.3438678,35550.56886,0,8,1,0,0,0.0,0,1
175,880.0117675,29920.4001,0,6,1,0,0,0.0,0,1
176,735.2684285,18381.71071,0,0,1,0,835,715.0,7,1
177,711.0605246,17776.51312,0,8,1,0,0,0.0,0,1
178,592.3582367,14808.95592,0,4,1,1,0,0.0,0,1
179,7.409143184,274.1382978,0,3,1,1,0,0.0,0,1
180,147.1329946,7503.782725,0,6,0,0,901,524.0,8,1
181,121.9231188,4755.001633,0,4,1,0,0,0.0,0,1
182,943.4032124,45283.3542,0,3,1,1,0,0.0,0,1
183,644.0231767,37997.36743,0,7,1,1,0,0.0,0,1
184,531.3669609,21786.0454,0,9,0,0,0,0.0,0,1
185,981.1519167,48076.44392,0,0,0,0,955,816.0,8,1
186,204.3112252,5516.40308,0,6,0,0,900,300.0,4,1
187,510.1006804,16833.32245,0,9,0,0,0,0.0,0,1
188,640.0741242,37124.2992,0,9,1,1,0,0.0,0,1
189,404.716752,23473.57162,0,0,1,0,0,0.0,0,1
190,883.3452074,34450.46309,0,0,1,1,0,0.0,0,1
191,545.4334446,29453.40601,0,2,1,1,0,0.0,0,1
192,165.7654947,8454.04023,0,0,1,1,0,0.0,0,1
193,591.3877421,31343.55033,0,2,1,1,0,0.0,0,1
194,640.1624804,26246.6617,0,9,1,1,0,0.0,0,1
195,740.2046238,23686.54796,0,6,1,1,0,0.0,0,1
196,141.7425944,5669.703776,0,7,1,1,0,0.0,0,1
197,271.0728565,15180.07996,0,0,1,1,0,0.0,0,1
198,858.5601081,30908.16389,0,2,1,1,0,0.0,0,1
199,801.2300183,29645.51068,0,6,1,0,0,0.0,0,1
200,69.64048686,3551.66483,0,0,1,1,0,0.0,0,1
201,615.5602077,36318.05225,0,0,1,1,0,0.0,0,1
202,594.8029527,30334.95059,0,4,1,1,0,0.0,0,1
203,600.0949052,31805.02998,0,0,1,1,0,0.0,0,1
204,620.1060587,25424.34841,0,1,0,0,403,391.0,4,1
205,131.8452729,3823.512914,0,0,1,1,0,0.0,0,1
206,551.0820991,24798.69446,0,9,0,0,0,0.0,0,1
207,865.32028,38074.09232,0,0,0,0,996,996.0,6,1
208,589.1127234,34757.65068,0,7,1,1,0,0.0,0,1
209,287.0167931,12341.7221,0,0,1,1,0,0.0,0,1
210,919.8808727,39554.87753,0,0,1,1,0,0.0,0,1
211,850.4822313,46776.52272,0,8,1,0,0,0.0,0,1
212,240.9497143,8192.290286,0,4,1,1,0,0.0,0,1
213,388.4652081,15538.60832,0,8,0,0,954,339.0,6,1
214,540.6711096,14057.44885,0,8,1,1,0,0.0,0,1
215,413.7465063,24824.79038,0,7,0,0,0,0.0,0,1
216,509.1908935,28005.49914,0,5,1,0,0,0.0,0,1
217,308.7609554,16673.09159,0,0,0,0,917,633.0,6,1
218,353.7778362,19104.00315,0,5,1,0,0,0.0,0,1
219,284.1427114,15343.70642,0,8,1,1,0,0.0,0,1
220,521.4180425,28677.99234,0,5,1,1,0,0.0,0,1
221,263.2839832,13954.05111,0,0,1,1,0,0.0,0,1
222,688.9080072,33756.49235,0,5,1,0,0,0.0,0,1
223,746.2325632,26864.37228,0,0,0,0,502,441.0,7,1
224,162.269086,8113.4543,0,9,0,0,0,0.0,0,1
225,657.5491567,30247.26121,0,0,0,0,894,883.0,8,1
226,980.8272044,50022.18742,0,2,1,1,0,0.0,0,1
227,450.4208559,17566.41338,0,0,1,0,833,761.0,7,1
228,639.6560067,24306.92825,0,0,0,0,377,319.0,7,1
229,875.3109328,35887.74824,0,0,1,1,0,0.0,0,1
230,877.3857224,42991.9004,0,3,1,0,0,0.0,0,1
231,749.7096084,23240.99786,0,8,0,0,614,235.0,1,1
232,967.0755763,34814.72075,0,0,1,1,0,0.0,0,1
233,959.1378013,52752.57907,0,0,0,0,786,737.0,9,1
234,699.5129575,25182.46647,0,0,0,0,939,931.0,1,1
235,108.2845499,5197.658395,0,5,1,1,0,0.0,0,1
236,348.1773237,14623.4476,0,3,1,0,0,0.0,0,1
237,732.0449117,18301.12279,0,1,1,1,0,0.0,0,1
238,858.5168817,22321.43892,0,0,1,0,0,0.0,0,1
239,7.954238966,294.3068417,0,4,1,1,0,0.0,0,1
240,189.3138594,10601.57613,0,0,1,1,0,0.0,0,1
241,49.67058576,1738.470502,0,0,1,0,0,0.0,0,1
242,459.2866416,16075.03246,0,8,1,0,0,0.0,0,1
243,846.6760804,30480.33889,0,7,0,0,0,0.0,0,1
244,674.7817162,35088.64924,0,5,1,0,0,0.0,0,1
245,865.7940313,45887.08366,0,0,0,0,487,393.0,9,1
246,806.125364,20959.25946,0,9,1,1,0,0.0,0,1
247,142.5739552,5845.532163,0,8,0,0,0,0.0,0,1
248,726.0532789,27590.0246,0,0,0,0,802,399.0,6,1
249,43.64750081,1440.367527,0,0,0,0,183,101.0,9,1
250,186.3281183,10993.35898,0,0,0,0,942,891.0,6,1
251,935.0104992,46750.52496,0,0,1,1,0,0.0,0,1
252,124.1292468,4344.523638,0,0,1,1,0,0.0,0,1
253,569.4513831,26764.21501,0,9,1,0,0,0.0,0,1
254,204.4915452,5112.28863,0,5,1,1,0,0.0,0,1
255,498.4128013,29406.35528,0,0,1,1,0,0.0,0,1
256,534.7917778,13904.58622,0,5,1,1,0,0.0,0,1
257,255.8440962,6396.102405,0,9,1,1,0,0.0,0,1
258,690.3779723,41422.67834,0,3,1,1,0,0.0,0,1
259,980.8982809,46102.2192,0,8,0,0,0,0.0,0,1
260,773.6826383,22436.79651,0,0,0,0,985,685.0,1,1
261,569.9575183,19378.55562,0,5,1,0,527,339.0,8,1
262,969.4199486,37807.378,0,6,1,1,0,0.0,0,1
263,500.7184551,20529.45666,0,8,1,1,0,0.0,0,1
264,913.0344755,28304.06874,0,6,1,1,0,0.0,0,1
265,192.4426122,7312.819264,0,0,1,0,0,0.0,0,1
266,397.8326505,9945.816263,0,7,0,0,993,330.0,4,1
267,826.6331531,42984.92396,0,5,1,1,0,0.0,0,1
268,364.0641254,17111.01389,0,0,1,1,0,0.0,0,1
269,145.7400314,5538.121193,0,0,0,0,788,586.0,9,1
270,212.6425076,8293.057796,0,0,0,0,801,789.0,9,1
271,807.7347087,40386.73544,0,0,1,1,0,0.0,0,1
272,978.7182792,37191.29461,0,2,1,0,0,0.0,0,1
273,418.9848756,10893.60677,0,9,0,0,0,0.0,0,1
274,684.2787417,22581.19848,0,8,1,1,0,0.0,0,1
275,312.3866556,15306.94612,0,0,0,0,878,728.0,6,1
276,858.5143144,36057.6012,0,3,1,1,0,0.0,0,1
277,484.1391246,17913.14761,0,1,1,1,992,741.0,7,1
278,452.309247,18996.98837,0,4,1,0,0,0.0,0,1
279,814.3885462,35018.70749,0,8,1,1,0,0.0,0,1
280,818.1752923,27817.95994,0,0,1,0,0,0.0,0,1
281,132.3457772,4102.719093,0,0,1,1,0,0.0,0,1
282,697.0536989,30670.36275,0,5,1,1,0,0.0,0,1
283,539.9713415,29158.45244,0,6,0,0,991,989.0,4,1
284,820.8520643,41042.60322,0,7,1,0,0,0.0,0,1
285,137.1661614,5898.14494,0,3,1,1,0,0.0,0,1
286,129.2911425,4525.189988,0,5,1,1,0,0.0,0,1
287,683.2697187,34163.48594,0,0,1,1,0,0.0,0,1
288,432.7778058,21638.89029,0,0,1,0,0,0.0,0,1
289,460.678046,27640.68276,0,3,1,0,0,0.0,0,1
290,317.468299,15555.94665,0,2,1,0,0,0.0,0,1
291,273.0599823,15291.35901,0,6,1,1,0,0.0,0,1
292,856.7066756,24844.49359,0,8,1,1,0,0.0,0,1
293,694.7347017,36126.20449,0,0,1,0,0,0.0,0,1
294,506.9870067,20786.46727,0,6,1,1,0,0.0,0,1
295,204.9659578,11273.12768,0,3,1,0,0,0.0,0,1
296,500.0066511,22000.29265,0,7,1,1,0,0.0,0,1
297,756.0365827,42338.04863,0,6,1,0,0,0.0,0,1
298,931.9793134,40075.11048,0,9,0,0,0,0.0,0,1
299,681.0673665,21794.15573,0,0,1,1,0,0.0,0,1
300,492.558973,20687.47687,0,9,0,0,0,0.0,0,1
301,434.4737987,14772.10916,0,0,1,1,0,0.0,0,1
302,363.183629,13074.61064,0,0,1,0,971,615.0,3,1
303,147.5242383,8261.357345,0,2,1,1,0,0.0,0,1
304,847.9098005,42395.49003,0,6,1,1,0,0.0,0,1
305,402.5043924,20930.2284,0,2,1,1,961,122.0,1,1
306,471.3818806,23569.09403,0,4,1,1,0,0.0,0,1
307,798.1141754,26337.76779,0,9,1,1,0,0.0,0,1
308,992.6494887,25808.88671,0,0,1,0,0,0.0,0,1
309,122.1290163,7327.740978,0,6,1,1,0,0.0,0,1
310,404.1382887,23440.02074,0,7,1,0,0,0.0,0,1
311,337.8148501,8783.186103,0,7,1,1,0,0.0,0,1
312,720.7841274,38922.34288,0,0,1,0,0,0.0,0,1
313,640.7230528,21143.86074,0,5,1,0,0,0.0,0,1
314,592.8263199,17784.7896,0,5,1,0,0,0.0,0,1
315,279.1086726,15909.19434,0,0,1,0,0,0.0,0,1
316,265.8169401,9835.226784,0,0,1,1,0,0.0,0,1
317,986.2171125,56214.37541,0,4,1,0,876,539.0,8,1
318,705.1993256,19040.38179,0,5,1,1,0,0.0,0,1
319,416.9327519,18761.97384,0,9,1,0,0,0.0,0,1
320,899.179126,40463.06067,0,7,0,0,0,0.0,0,1
321,427.1692882,16232.43295,0,0,1,0,0,0.0,0,1
322,925.0870281,24977.34976,0,8,1,0,822,485.0,9,1
323,733.9913263,38167.54897,0,4,1,0,0,0.0,0,1
324,243.7620445,11456.81609,0,8,1,0,0,0.0,0,1
325,877.8014753,36867.66196,0,9,1,1,0,0.0,0,1
326,922.3986849,37818.34608,0,3,1,1,0,0.0,0,1
327,947.7074177,45489.95605,0,3,0,0,856,483.0,4,1
328,515.2839682,13397.38317,0,9,0,0,0,0.0,0,1
329,979.5699377,41141.93738,0,0,1,1,0,0.0,0,1
330,790.1523003,41878.07192,0,9,0,0,0,0.0,0,1
331,865.2955833,23362.98075,0,4,0,0,572,166.0,6,1
332,562.7565227,15757.18264,0,6,1,0,0,0.0,0,1
333,101.461186,5174.520486,0,8,1,0,0,0.0,0,1
334,58.85243721,3413.441358,0,8,1,1,0,0.0,0,1
335,81.64788579,4572.281604,0,0,1,1,0,0.0,0,1
336,15.74247373,535.2441068,0,8,1,0,0,0.0,0,1
337,666.0617481,21313.97594,0,8,0,0,939,767.0,3,1
338,871.8621512,28771.45099,0,9,0,0,789,646.0,4,1
339,425.4511691,25527.07015,0,9,1,0,0,0.0,0,1
340,489.4387231,26919.12977,0,9,1,0,0,0.0,0,1
341,918.9229043,40432.60779,0,7,1,1,0,0.0,0,1
342,862.8380502,41416.22641,0,5,1,0,0,0.0,0,1
343,831.8627613,49079.90292,0,0,1,1,0,0.0,0,1
344,81.92117847,3850.295388,0,9,0,0,0,0.0,0,1
345,347.7253025,19820.34224,0,0,1,1,0,0.0,0,1
346,249.8231543,6245.578858,0,0,1,1,0,0.0,0,1
347,768.5943157,46115.65894,0,9,0,0,795,673.0,9,1
348,519.3985865,16101.35618,0,5,1,1,987,859.0,3,1
349,456.3813634,11865.91545,0,4,1,1,0,0.0,0,1
350,894.7819545,37580.84209,0,9,1,1,0,0.0,0,1
351,793.550405,27774.26418,0,2,1,1,0,0.0,0,1
352,916.0180605,27480.54182,0,3,1,1,0,0.0,0,1
353,114.2010307,6623.659781,0,8,1,1,0,0.0,0,1
354,241.8275704,13542.34394,0,3,1,1,995,381.0,6,1
355,115.0563898,4487.199202,0,0,1,0,557,527.0,7,1
356,331.8126225,17586.06899,0,0,0,0,398,224.0,7,1
357,908.1458054,23611.79094,0,3,1,1,0,0.0,0,1
358,173.3603869,4334.009673,0,0,1,0,0,0.0,0,1
359,654.8001656,25537.20646,0,0,1,1,0,0.0,0,1
360,263.3156802,6582.892005,0,9,1,1,0,0.0,0,1
361,715.1170832,24313.98083,0,2,1,1,0,0.0,0,1
362,735.9010899,25756.53815,0,0,1,1,0,0.0,0,1
363,942.3427767,44290.1105,0,2,0,0,943,934.0,6,1
364,47.18366965,1651.428438,0,0,1,1,0,0.0,0,1
365,411.2015311,14392.05359,0,5,1,0,0,0.0,0,1
366,544.050812,14689.37192,0,0,1,0,0,0.0,0,1
367,324.6814562,10065.12514,0,9,1,1,0,0.0,0,1
368,69.80049552,1814.812884,0,0,1,0,884,708.0,6,1
369,94.27628892,5373.748468,0,0,0,0,938,929.0,9,1
370,687.7898409,17882.53586,0,3,1,0,0,0.0,0,1
371,989.7481646,30682.1931,0,0,1,1,982,764.0,6,1
372,380.3262615,17495.00803,0,0,1,1,0,0.0,0,1
373,805.5476019,31416.35647,0,0,1,0,0,0.0,0,1
374,684.2297364,30106.1084,0,4,1,1,0,0.0,0,1
375,483.5514489,13539.44057,0,9,0,0,0,0.0,0,1
376,534.4449872,14430.01465,0,0,0,0,780,188.0,7,1
377,705.8118035,41642.89641,0,0,0,0,940,815.0,6,1
378,81.53100514,4728.798298,0,0,1,1,0,0.0,0,1
379,421.2386089,19798.21462,0,8,0,0,777,195.0,1,1
380,107.0893057,3212.679171,0,8,0,0,0,0.0,0,1
381,302.5597406,17548.46495,0,0,0,0,941,826.0,9,1
382,503.9905822,28223.4726,0,1,1,0,0,0.0,0,1
383,238.2450816,10482.78359,0,6,1,1,0,0.0,0,1
384,9.919197533,257.8991359,0,6,1,1,0,0.0,0,1
385,43.21184997,2333.439898,0,7,1,1,0,0.0,0,1
386,895.6099868,50154.15926,0,0,0,0,841,386.0,8,1
387,796.4496467,19911.24117,0,8,1,1,0,0.0,0,1
388,814.1466471,24424.39941,0,9,1,1,0,0.0,0,1
389,973.996789,56491.81376,0,6,1,0,0,0.0,0,1
390,259.3645136,13227.59019,0,0,1,1,0,0.0,0,1
391,756.7421967,37080.36764,0,4,0,0,673,512.0,8,1
392,979.5642622,49957.77737,0,6,1,1,0,0.0,0,1
393,378.3035981,12862.32234,0,0,0,0,956,645.0,6,1
394,263.4791392,8694.811594,0,2,1,1,0,0.0,0,1
395,769.0106009,40757.56185,0,6,1,1,0,0.0,0,1
396,880.9781253,24667.38751,0,4,1,0,754,585.0,7,1
397,1000.0,56000.0,1,1,1,0,754,585.0,7,1
398,2000.0,54000.0,1,2,1,0,754,585.0,7,1
399,2000.0,106000.0,0,3,1,0,754,585.0,7,1
400,1000.0,28000.0,0,4,1,0,754,585.0,7,1
401,500.0,20000.0,0,5,1,0,754,585.0,7,1
402,300.0,15000.0,0,6,1,0,754,585.0,7,1
403,1000.0,27000.0,1,0,1,0,754,585.0,7,1
404,1000.0,34000.0,1,1,1,0,754,585.0,7,1
405,2000.0,80000.0,1,2,1,0,754,585.0,7,1
406,2000.0,108000.0,1,3,1,0,754,585.0,7,1
407,1000.0,29000.0,1,4,1,0,754,585.0,7,1
408,500.0,23000.0,1,5,1,0,754,585.0,7,1
409,300.0,15300.0,1,6,1,0,754,585.0,7,1
410,1200.0,61200.0,1,0,1,1,754,585.0,7,1
411,600.0,16200.0,1,1,1,1,754,585.0,7,1
412,300.0,7800.0,1,2,1,1,754,585.0,7,1
413,500.0,16500.0,1,0,0,0,754,585.0,7,1
414,500.0,19500.0,1,1,0,0,754,585.0,7,1
415,500.0,14000.0,1,2,0,0,754,585.0,7,1
416,500.0,17500.0,1,1,0,0,754,585.0,7,1
417,500.0,23000.0,0,2,0,0,754,585.0,7,1
418,800.0,24800.0,1,1,0,0,754,585.0,7,1
419,400.0,10400.0,1,2,0,0,754,585.0,7,1
420,200.0,10400.0,0,3,0,0,754,585.0,7,1
421,800.0,35200.0,1,1,0,0,754,585.0,7,1
422,400.0,14000.0,1,2,0,0,754,585.0,7,1
423,200.0,7800.0,0,3,0,0,754,585.0,7,1
424,800.0,31200.0,1,0,1,1,754,585.0,7,1
425,700.0,25900.0,1,1,1,1,754,585.0,7,1
426,800.0,40800.0,1,0,1,1,754,585.0,7,1
427,800.0,40000.0,1,1,1,1,754,585.0,7,1
428,400.0,12800.0,1,2,1,1,754,585.0,7,1
429,200.0,11600.0,0,3,1,1,754,585.0,7,1
430,1200.0,54000.0,1,0,1,1,754,585.0,7,1
431,600.0,17400.0,1,1,1,1,754,585.0,7,1
432,300.0,15000.0,1,2,1,1,754,585.0,7,1
433,500.0,26500.0,1,4,0,0,754,585.0,7,1
434,500.0,22000.0,1,5,0,0,754,585.0,7,1
435,500.0,14000.0,1,6,0,0,754,585.0,7,1
436,1000.0,29000.0,1,1,1,1,754,585.0,7,1
